Name,Start Time,End Time,Description,Price
b'Discovery Day at AT&T Park',2017-11-11T09:30:00,2017-11-11T16:00:00,"Early Access provides entry to the event at 9:30 AM through the Portwalk gates. 
AT&T park is transformed into a science wonderland for the concluding event of the Bay Area Science Festival, organized by UC San Francisco, – a FREE science extravaganza on Saturday November 11th, 2017 10AM-4PM. Last year, more than 30,000 people enjoyed a non-stop program chock-full of interactive exhibits, experiments, games, and shows, all meant to entertain and inspire. With more than 150 exhibits, everyone can find something that will unleash their inner scientist. 
Rain or Shine!
150 EXHIBITS AND ACTIVITIES

Experience over 150 hands-on exhibits and activities from leading science and technology organizations from across the Bay Area. Universities, science museums, research labs, after school organizations, and local companies join forces for an unprecedented opportunity to meet scientists and engineers. Topics include health & medicine, engineering, technology, biotechnology, climate science, and so much more. This year, every exhibit will be framed as investigative questions to encourage explorations and curiosity that we hope will continue throughout the school year.
CHEVRON STEM ZONE

Join us on the field and the fun, interactive activities that provide an inside-look at the science of sports, train like an astronaut, explore robotics, and pick up a science kit.
LIFE SCIENCE ALLEY

Experience the best of biotech with a dozen of the Bay Area’s leading life science companies. Extract your DNA, explore your genes, and meet the scientists engineering the next cure.
ROBOT ZOO

AT&T Park will be overrun by robots of all shapes and sizes. Interact with High School robotics teams, startup companies, and cutting edge research robots.
Parking/TransportationWe encourage everyone to take BART or public transportation to the event as we expect big crowds. AT&T Park is also accessible by MUNI and CalTrain. For more information on public transportation options to the ballpark, check out AT&T Park’s transit page.
Bike Parking will be provided by the SF Bike Coalition.
Limited parking will be available in Lot A for $15/vehicle.",Paid
"b""TEMPLE FRIDAY'S. FREE Admission before 11pm (seriesgrp)""",2017-11-10T21:30:00,2017-11-11T03:30:00,"Temple FRIDAY!
VIP TABLE RESERVATIONS TEXT: 415.766.8114
Temple Nightclub is located in SF's SOMA District at 540 Howard Street, just steps away from Moscone Center. Open Thursday from 10 p.m. to 3 a.m. and Friday through Saturday from 10 p.m. to 4 a.m., Temple is the nation's first award-winning ""green"" venue to host world-class nightlife entertainment with an immersive audio/visual environment. Since its reconceptualization and reopening in late December 2015, Temple Nightclub has been designated the top nightclub in San Francisco, #24 on Nightclub & Bar's annual list of top clubs in the nation, and the only club in the Bay Area to be included on the list.The 20,000-square-foot nightclub encompasses four rooms, each with its own distinctive design and intelligent LED lighting.

",Free
"b""LOVE + PROPAGANDA SATURDAY'S (seriesgrp)""",2017-11-11T21:30:00,2017-11-12T02:00:00,"Dance at San Francisco's premier dance-club featuring the best open-format DJs from all over.  NO COVER with RSVP for you and all your friends or reserve a VIP section.
VIP Table service text:  415.766.8114
Experience the all new Love + Propaganda San Francisco.
Situated in San Francisco's Union Square district, Love and Propaganda is a crossroads where music, fashion, and art all meet to form an audio-visual experience unlike anything you've ever seen before. After you've settled into the gorgeous neo-classic inspired design, sound becomes the focal point. Expect to have your understanding of nightlife challenged, as L+P prides itself on the attention put forth to recognize the much broader community of widely acclaimed international and underground producers, DJs, and overall talent that you won’t find anywhere else.
Upcoming DJ schedule:
DEUX TWINS (Nov 11)
DJ KAYPER (Nov18)
DJ EXCEL (Nov 25)

VIP TABLE RESERVATIONS TEXT: 415.766.8114 

Don't forget our HALLOWEEN PARTY on TUESDAY OCT. 31st.  Details here >>   http://bit.ly/2h4LTZC

",Free
"b""TEMPLE Friday's! NO COVER with RSVP. (seriesgrp)""",2017-11-10T21:30:00,2017-11-11T03:30:00,"Temple FRIDAY!
VIP TABLE RESERVATIONS TEXT: 415.766.8114
Temple Nightclub is located in SF's SOMA District at 540 Howard Street, just steps away from Moscone Center. Open Thursday from 10 p.m. to 3 a.m. and Friday through Saturday from 10 p.m. to 4 a.m., Temple is the nation's first award-winning ""green"" venue to host world-class nightlife entertainment with an immersive audio/visual environment. Since its reconceptualization and reopening in late December 2015, Temple Nightclub has been designated the top nightclub in San Francisco, #24 on Nightclub & Bar's annual list of top clubs in the nation, and the only club in the Bay Area to be included on the list.The 20,000-square-foot nightclub encompasses four rooms, each with its own distinctive design and intelligent LED lighting.


",Free
b'Next Level Thursday at TEMPLE (seriesgrp)',2017-11-09T22:00:00,2017-11-10T02:00:00,"Next Level Thursdays happens every week, featuring open format music on the main room, and some of the most in-demand performers weekly!
Music by BELLA FIASCO + DJ CLIMAXXX + MARIO E.  
Support by Mario E
VIP TABLE & BOTTLE RESERVATIONS CALL / TEXT: 415.766.8114
This is a 21+ event.",Free
b'The Great Dickens Christmas Fair 2017 - 5 Weekends & One Friday',2017-11-18T10:00:00,2017-12-17T19:00:00,"
                          A Victorian Christmas Card come to Life!
Visit London - at the historic Cow Palace Exhibition Halls!  Enter the winding lanes of Victorian London and immerse yourself in a world of music halls, theatres, pubs, dance parties, and charming shops overflowing with hand-made holiday treasures.  Enticing aromas of roasted chestnuts and hearty foods fill the air.  Discover holiday revelry in this lamp-lit city brimming with over 800 lively and colorful characters from the imagination of Charles Dickens, the pages of history, and the sometimes saucy world of the Victorian stage. Open from 10 AM to 7 PM, five weekends and one Friday from Nov. 18 - Dec. 17, 2017.
Free BART Shuttle from Glen Park Station every Fair day.
For general questions about the event, please refer to the Dickens Fair Website or our Frequently Asked Questions & Useful Answers page.
Ticket Info FAQs
What is 'Select Day' ticketing?Like many other theatrical events, tickets must be purchased for the actual day you wish to attend. Each day has a limited number of tickets available to ensure the comfort of all who attend.
Can I gift tickets to friends and family?Yes! Tickets are fully transferable and can be gifted to any person of your choosing. They are an ideal way to send holiday cheer to loved ones.
Can I gift season passes to friends and family?Unfortunately season passes are valid for the original pass holder only and must be presented with a valid photo I.D.
Are there parking fees?A parking fee of $12.00 per car (cash only) is charged at the entrance to the lot to the Cow Palace.
Is the Fair handicapped-accessible?Yes. Wheelchairs are also available for rental at the 'Cloak Check' inside the Fair for $10.00 per half day (4 hours) or $20.00 per full day (4+ hours) on a first-come, first-served basis.
Are there discounted group tickets available?We offer discounted group tickets for groups of 20 or more. Please contact Golden Gate Group Tickets at tickets@gggrouptickets.com for more information.
I have additional questions about the ticket or the event, who can I contact? First, check our detailed event Frequently Asked Questions page. If you still have event- or ticket-related questions, please email tickets.dickensfair@gmail.com and we will provide a timely response (Monday-Friday 9AM-5PM Pacific). ",Paid
b'DAY OF THE DEVS 2017 (presented by Double Fine & iam8bit)',2017-11-11T13:00:00,2017-11-11T20:00:00,"Returning for the fifth consecutive year, Double Fine Productions and iam8bit’s Day of the Devs will bring five times the fun and festivities on November 11th, 2017 to The Midway in San Francisco. Attendance is FREE but tickets are limited. Reserve your spot now to join one of the coolest and longest-running celebrations of indie gaming and development.

After searching far and wide for the most spectacular indie titles, Double Fine Productions has risen the virtual velvet curtain to unveil the highly anticipated game lineup and activities for Day of the Dev’s fifth anniversary. And check out the sizzle reel here for a sneak peek of what you can expect to see at the event! 


“Day of the Devs 2016 was beyond epic,"" said Double Fine President and CEO Tim Schafer, ""We had tons of awesome indie games featured - several of which went on to win awards and even qualify for an Oscar! But that was only our fourth annual event. For the fifth year, we're going alllllllll out! We thought long and hard about how we could make Day of the Devs 2017 a festival for the ages, and we've come up with some surprises you're not going to want to miss. Day of the Devs 2017 is going to be bigger and better than ever before. Be there, or forever live in regret.”


Day of the Devs is a free festival, open to all ages. For more information, updates surrounding the game line-up and/or sponsor information, please visit www.dayofthedevs.com",Free
b'The Championship Final: San Francisco Deltas vs New York Cosmos',2017-11-12T17:00:00,2017-11-12T19:30:00,"Join us for The Championship Final as the SF Deltas take on the NY Cosmos!
This Championship Final game will have a seating layout similar to that of our 10/28 and 11/05 Semifinal game in which the majority of Kezar Stadium was converted to a General Admission seating format, with the exception of three reserved seating sections.
THE ONLY TICKET OPTIONS FOR SALE THIS GAME WILL BE THE FOLLOWING:
General Admission Seating: $5+ feesSupporters Section Seating: $5+ fees
Game Information:

Kick-Off is Sunday, November 12, 2017 at 5pm
Kezar is ADA Accessible: To purchase ADA-accessible seats please contact tickets@sfdeltas.com
For stadium, transportation, and parking information visit our website

For any questions related to tickets, please contact tickets@sfdeltas.com. 





",Paid
b'2018 KIDFITSTRONG Fitness Challenge - San Francisco',2018-02-10T10:00:00,2018-02-10T18:00:00,"The KIDFITSTRONG Fitness Challenge is the nations largest mobile fitness event traveling from coast-to-coast dedicated to keeping kids active and healthy.  At the KIDFITSTRONG Fitness Challenge, kids of all ages get the opportunity to flex their physical fitness by participating in a completion-based obstacle course designed to challenge speed, strength, agility and overall physical fitness.  The event is FREE to the public and features a variety of activities for the whole family to enjoy including active gaming fun for all ages and on-site programming designed to inspire kids and families to live a more active and healthy lifestyle!

https://m.youtube.com/watch?v=nnBucGXEpfM

FAQ's
What is the KIDFITSTRONG Fitness Challenge?
The KIDFITSTRONG Fitness Challenge is the nations largest mobile fitness event traveling from coast-to-coast dedicated to keeping kids active and healthy.  
How do kids participate?
Kids of all ages get the opportunity to demonstrate their physical fitness by participating in a completion-based obstacle course designed to test speed, strength, agility, and overall physical fitness.
How is the course laid out?
The KIDFITSTRONG Fitness Challenge is a 10 station completion-based obstacle course that includes sprinting, push ups, wall crawls, hurdles, jumping jacks, sit ups, tunnel crawls and to finish off the course - a grueling 20 foot confidence climb and 60 meter dash to the finish!
What is the minimum age requirement to compete?
The minimum age requirement for our toddler course is 3 years of age. The course difficulty is adjusted to compliment each age group to include the adults.
Is the KIDFITSTRONG Fitness Challenge a kids event only?
Not at all, adults can participate on all activities at the event to test their physical fitness.
How long will I have to run?
Each course no matter if adult or toddler takes approximately 5 - 10 minutes to complete depending on your physical fitness.
What if I can't make it that far?
No worries. You can terminate your race at anytime but we encourage all participants to attempt to finish. We have lots of great volunteers to help you on the way!
Is there a cost to run the course?
The KIDFITSTRONG Fitness Challenge course is free of charge for all ages. Runners are handled on a first come first serve basis.
Is there a charge to participate on the Xtreme rides at the event?
Yes, there is a charge associated with participating on the BumperBalls and BodyZorbs at the event. The KIDFITSTRONG Fitness Challenge Obstacle Course and Awareness areas are FREE of charge for unlimited participation all day.
What other activities are there to do at the event?
The event features lots of activities for the whole family to enjoy to include Xtreme gaming for all ages, rides, food and on-site programming designed to inspire kids and families to live an active and healthy lifestyle.
What is the weather policy for the event?
The KIDFITSTRONG Fitness Challenge is a LOW WIND SHINE ONLY event due to extremely high inflatables. Please make sure to check the website on event day for weather updates and event status.
Do I have to register to participate?
Yes, ALL participants both children and adults must register for FREE at Eventbrite to accept the medical waiver in order to participate at the event.
Do participants have to arrive at 10am and stay all day?
No, participants can arrive anytime during our 10am - 6pm event hours. New races are run continually throughout the day with new runners being handled on a first come first served basis.
How can I become a Volunteer at the event?
We can always use your help volunteering at our KIDFITSTRONG Fitness Challenge event.  Please contact us at volunteers@kidfitstrong.com where one of our team members can get you all setup. 
How can I become a Sponsor or a Vendor at one of your upcoming events?
Please contact us at sponsors@kidfitstrong.com where one of our friendly specialists will be glad to answer any of your questions and forward you sponsor information.
How can I bring the KIDFITSTRONG Fitness Challenge special event to my school?
We offer a limited number of special events per school year. To request a special event at your school, please contact us at community@kidfitstrong.com where one of our friendly specialists will be glad to forward you special event information.
What if I have any further questions?
Feel free to contact us at info@kidfitstrong.com where one of our friendly specialists will be glad to answer your questions.",Paid
b'Fernet-Branca Barback Games & Expo - San Francisco CA',2017-11-12T19:00:00,2017-11-13T00:00:00,"**CLICK BELOW FOR OUR RECAP FROM LAST YEAR** 

 
**DON'T MISS OUR BIGGEST EVENT PRODUCTION TO DATE**
New This Year:
A NEW INDOOR / OUTDOOR VENUE WITH (4) UNIQUE AREAS
 (5x) POP-UP EXHIBITIONS FROM AMERICA'S MOST CELEBRATED BARS 
MUSICAL PERFORMANCES by THE PHARCYDE + TRIPLE THREAT DJs
170 YEARS OF FERNET-BRANCA ART GALLERY
& MUCH, MUCH MORE TO BE ANNOUNCED!
===============================================================
 
FERNET-BRANCA BARBACK GAMES & EXPO
*** Guts. Glory. Music.Fun. Fernet-Branca **  
 


 
The Fernet-Branca Barback Games features gladiators battling through a series of rigorous challenges to crowds of cheering industry friends.
 
On Sunday, November 12th, the best Barbacks from around San Francisco will compete at The Midway SF to determine the city's best barback. 
 
In the end there can be only one.
 
Featuring musical performances from THE PHARCYDE, TRIPLE THREAT DJs + Theatrical & Circus Performers from SF's favorite touring troupes! 
 

 
 
THIS IS A FIRST COME FIRST EVENT.WE SUGGEST ARRIVING EARLY TO GUARANTEE ADMISSION!21+ ONLY  Sunday, November 12th, 2016The Midway900 Marin StSan Francisco, CA 94124
6:00pm Barback Registration7:00pm Doors  =============================================================== 
**ATTENTION PARTICIPATING BARBACKS**
 
- Only the first 40 people that have PRE-REGISTERED online via Eventbrite AND are at the venue in line will be allowed to participate.
 
- We are opening doors at 7:00PM for Barbacks but given the response we suggest you arrive earlier to make sure you are one of the first 40.
 
- You MUST be over 21 with valid ID
 
- Finally - be prepared to sign a waiver and your soul over to the Fernet Gods
===============================================================
 
OFFICIAL HOTEL OF THE BARBACK GAMES: HOTEL ZEPPELIN
 ",Free
